@RELATION FEATURE_COSTS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE Feature-basic NUMERIC
@ATTRIBUTE Feature-constraints NUMERIC
@ATTRIBUTE Feature-tree NUMERIC
@ATTRIBUTE Feature-clause NUMERIC
@ATTRIBUTE Feature-dense NUMERIC
@ATTRIBUTE Feature-core NUMERIC
@ATTRIBUTE Feature-valid NUMERIC
@ATTRIBUTE Feature-cyclo NUMERIC
@ATTRIBUTE Satzilla-BASE NUMERIC
@ATTRIBUTE Satzilla-SP NUMERIC
@ATTRIBUTE Satzilla-DIA NUMERIC
@ATTRIBUTE Satzilla-CL NUMERIC
@ATTRIBUTE Satzilla-UNIT NUMERIC
@ATTRIBUTE Satzilla-LS NUMERIC
@ATTRIBUTE Satzilla-LOBJOIS NUMERIC
@ATTRIBUTE Satzilla-LP NUMERIC

@DATA
mc2022_track1_179.dimacs,1,0.001000,0.017000,0.003000,0.057000,1.941000,60.000000,60.023000,60.000000,5.327000,0.719000,0.868000,0.575000,0.565000,5.488000,2.541000,60.000000
mc2022_track1_181.dimacs,1,0.000000,0.003000,0.000000,0.003000,0.007000,0.045000,60.008000,5.683000,0.114000,0.081000,0.093000,0.070000,0.071000,5.313000,2.071000,60.000000
mc2022_track1_183.dimacs,1,0.000000,0.093000,0.000000,0.101000,7.154000,0.628000,60.060000,43.527000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000
mc2022_track1_185.dimacs,1,0.000000,0.010000,0.000000,0.012000,0.153000,0.831000,60.011000,25.239000,1.241000,0.573000,1.596000,0.467000,0.516000,5.691000,2.420000,60.000000
mc2022_track1_187.dimacs,1,0.000000,0.002000,0.000000,0.001000,0.005000,60.000000,60.010000,0.670000,0.290000,0.054000,0.053000,5.020000,0.021000,5.223000,2.027000,1.175000
mc2022_track1_189.dimacs,1,0.000000,0.002000,0.000000,0.002000,0.006000,0.020000,60.007000,5.671000,0.439000,0.210000,0.322000,0.171000,0.183000,5.260000,2.154000,60.000000
mc2022_track1_191.dimacs,1,0.000000,0.098000,0.000000,0.350000,0.892000,60.000000,60.061000,60.000000,29.755000,15.166000,18.262000,8.785000,10.318000,12.850000,10.289000,60.000000
mc2022_track1_193.dimacs,1,0.000000,0.001000,0.000000,0.002000,0.010000,60.000000,60.008000,2.213000,1.163000,0.117000,0.057000,5.027000,0.027000,5.199000,2.022000,0.747000
mc2022_track1_195.dimacs,1,0.000000,0.001000,0.000000,0.002000,0.011000,0.564000,60.007000,0.803000,5.903000,0.287000,0.038000,0.503000,0.034000,4.770000,2.017000,0.322000
mc2022_track1_197.dimacs,1,0.000000,0.000000,0.000000,0.000000,0.003000,60.000000,60.008000,1.325000,0.053000,0.039000,0.046000,5.033000,0.028000,5.913000,2.024000,5.644000
mc2022_track1_199.dimacs,1,0.001000,0.056000,0.005000,0.055000,6.557000,60.000000,60.034000,60.000000,4.836000,7.620000,5.173000,2.873000,3.130000,7.902000,4.833000,60.000000
